name,State,frequency,state_percentage
Aaralyn,MI,6,5e-05
Aaralyn,NC,12,0.00013
Aaralyn,NY,19,7e-05
Aaralyn,OH,12,8e-05
Aaralyn,PA,21,0.00012
Aaralyn,TN,18,0.00026
Aaralyn,TX,205,0.00081
Aaralyn,VA,5,7e-05
Aaralynn,TX,30,0.00012
Aarav,AR,5,0.00014
Aarav,AZ,123,0.00305
Aarav,CA,1496,0.00452
Aarav,CO,55,0.00139
Aarav,CT,132,0.00362
Aarav,DE,21,0.0031
Aarav,FL,236,0.0021
Aarav,GA,290,0.00313
Aarav,IA,5,0.00011
Aarav,IL,481,0.00293
Aarav,IN,49,0.00062
Aarav,KS,5,0.00014
Aarav,KY,30,0.00052
Aarav,MA,260,0.00319
Aarav,MD,146,0.00292
Aarav,MI,194,0.00154
Aarav,MN,79,0.00129
Aarav,MO,49,0.00066
Aarav,NC,222,0.00234
Aarav,NJ,817,0.00891
Aarav,NY,449,0.00175
Aarav,OH,219,0.00142
Aarav,OR,25,0.00083
Aarav,PA,288,0.00161
Aarav,SC,22,0.00046
Aarav,TN,66,0.00094
Aarav,TX,722,0.00286
Aarav,VA,283,0.00376
Aarav,WA,287,0.00537
Aarav,WI,52,0.00079
Aaren,CA,55,0.00017
Aaren,NY,43,0.00017
Aaren,TX,17,7e-05
Aaria,CA,60,0.00018
Aaria,GA,6,6e-05
Aaria,IL,11,7e-05
Aaria,NJ,15,0.00016
Aaria,TX,68,0.00027
Aariah,CA,5,2e-05
Aariah,TX,5,2e-05
Aarian,TX,26,0.0001
Aariana,CA,6,2e-05
Aariana,TX,6,2e-05
Aaric,CA,13,4e-05
Aaric,TX,26,0.0001
Aarik,CA,12,4e-05
Aarika,CA,71,0.00021
Aarika,IN,5,6e-05
Aarika,MI,11,9e-05
Aarika,PA,5,3e-05
Aarika,TX,16,6e-05
Aarin,CA,135,0.00041
Aarin,GA,6,6e-05
Aarin,IL,6,4e-05
Aarin,NJ,42,0.00046
Aarin,NY,6,2e-05
Aarin,TX,29,0.00012
Aarin,VA,5,7e-05
Aarin,WA,11,0.00021
Aarini,CA,6,2e-05
Aarion,CA,6,2e-05
Aarion,IL,17,0.0001
Aarish,CA,34,0.0001
Aarish,NY,5,2e-05
Aarish,TX,10,4e-05
Aariv,CA,202,0.00061
Aariv,FL,11,0.0001
Aariv,GA,30,0.00032
Aariv,IL,22,0.00013
Aariv,MA,30,0.00037
Aariv,MD,10,0.0002
Aariv,MI,6,5e-05
Aariv,NC,32,0.00034
Aariv,NJ,96,0.00105
Aariv,NY,8,3e-05
Aariv,OH,13,8e-05
Aariv,OR,6,0.0002
Aariv,PA,21,0.00012
Aariv,TN,5,7e-05
Aariv,TX,88,0.00035
Aariv,WA,33,0.00062
Aariya,NY,5,2e-05
Aariyah,CA,69,0.00021
Aariyah,FL,12,0.00011
Aariyah,GA,24,0.00026
Aariyah,IL,10,6e-05
Aariyah,MN,5,8e-05
Aariyah,OH,6,4e-05
Aariyah,PA,11,6e-05
Aariyah,TX,86,0.00034
Aariz,CA,106,0.00032
Aariz,FL,5,4e-05
Aariz,GA,23,0.00025
Aariz,IL,69,0.00042
Aariz,MD,5,0.0001
Aariz,MI,8,6e-05
