sex,year,name,frequency,State,rank,percentage,overall_rank,overall_percentage
M,1920,Ulysses,5,MO,421,0.018,911,0.009
M,1922,Urban,5,MO,426,0.018,937,0.009
M,1923,Urban,8,MO,320,0.027,706,0.013
M,1924,Urban,8,MO,331,0.026,727,0.013
M,1932,Urban,5,MO,362,0.018,808,0.009
M,1935,Urban,8,MO,281,0.03,614,0.015
M,1946,Ulysses,5,MO,401,0.013,903,0.007
M,1950,Unknown,5,MO,397,0.012,924,0.006
M,1953,Unknown,5,MO,433,0.011,980,0.006
M,1954,Unknown,5,MO,444,0.011,1020,0.006
M,1955,Unknown,9,MO,337,0.019,767,0.01
M,1956,Unknown,7,MO,396,0.015,906,0.008
M,1959,Unknown,5,MO,473,0.01,1101,0.005
M,1960,Ulysses,5,MO,470,0.01,1084,0.005
M,1989,Unknown,21,MO,227,0.056,473,0.03
M,1990,Uriah,5,MO,550,0.013,1256,0.007
M,1993,Uriah,5,MO,577,0.014,1296,0.008
M,1997,Uriah,7,MO,483,0.02,1077,0.011
M,2005,Uriel,6,MO,679,0.018,1453,0.01
M,2005,Uriah,5,MO,748,0.015,1646,0.008
M,2007,Uriah,8,MO,591,0.023,1250,0.012
M,2007,Uriel,6,MO,713,0.017,1523,0.009
M,2008,Uriah,12,MO,451,0.035,956,0.019
M,2008,Uriel,6,MO,732,0.017,1560,0.009
M,2009,Uriah,12,MO,454,0.036,920,0.02
M,2009,Urijah,7,MO,662,0.021,1398,0.011
M,2009,Uriel,5,MO,805,0.015,1752,0.008
M,2010,Uriah,10,MO,510,0.031,1044,0.017
M,2010,Urijah,5,MO,792,0.015,1729,0.008
M,2011,Uriah,16,MO,365,0.049,726,0.027
M,2011,Urijah,9,MO,546,0.028,1142,0.015
M,2012,Urijah,14,MO,403,0.044,822,0.024
M,2012,Uriah,11,MO,477,0.035,977,0.019
M,2012,Uriel,5,MO,789,0.016,1723,0.009
M,2013,Uriah,11,MO,493,0.035,1011,0.019
M,2013,Urijah,10,MO,525,0.031,1083,0.017
M,2013,Uriel,7,MO,629,0.022,1355,0.012
M,2014,Uriah,14,MO,423,0.043,845,0.024
M,2015,Uriah,10,MO,520,0.032,1078,0.017
M,2015,Urijah,5,MO,817,0.016,1763,0.009
M,2016,Uriah,15,MO,414,0.047,823,0.026
M,2017,Uriah,11,MO,491,0.036,1002,0.019
M,2017,Uriel,5,MO,840,0.016,1779,0.009
M,2018,Uriah,11,MO,499,0.036,1017,0.019
M,2018,Uriel,5,MO,858,0.016,1818,0.009
M,2019,Uriah,8,MO,634,0.027,1312,0.014
M,2019,Uriel,8,MO,634,0.027,1312,0.014
M,2020,Uriah,6,MO,750,0.021,1577,0.011
M,2021,Uriah,7,MO,682,0.025,1425,0.013
M,2021,Uriel,5,MO,855,0.018,1801,0.009
M,2022,Uriah,7,MO,702,0.025,1429,0.013
M,2023,Uriah,8,MO,612,0.03,1271,0.016
M,2023,Uriel,8,MO,612,0.03,1271,0.016
M,2024,Uriah,13,MO,441,0.048,890,0.026
M,1961,Unknown,5,ID,226,0.069,482,0.037
M,2012,Uriah,6,ID,334,0.074,644,0.042
M,2014,Ulises,5,ID,397,0.06,767,0.034
M,2014,Uriah,5,ID,397,0.06,767,0.034
M,2017,Uriah,7,ID,314,0.089,583,0.049
M,2017,Uriel,5,ID,395,0.063,769,0.035
M,2019,Uriah,7,ID,296,0.09,571,0.05
M,2021,Uriel,5,ID,406,0.062,774,0.035
M,2023,Uriah,6,ID,354,0.076,676,0.042
F,1918,Ursula,5,NM,196,0.134,348,0.07
F,1919,Ursula,5,NM,178,0.154,332,0.078
F,1930,Ursula,5,NM,220,0.11,416,0.055
F,1943,Unknown,7,NM,197,0.114,367,0.056
F,1951,Unknown,6,NM,268,0.063,530,0.03
F,1962,Ursula,6,NM,341,0.052,665,0.024
F,1968,Ursula,5,NM,327,0.065,608,0.03
F,1971,Ursula,6,NM,315,0.071,589,0.033
F,1973,Ursula,10,NM,191,0.134,377,0.062
F,1975,Ursula,5,NM,350,0.065,653,0.03
F,1978,Ursula,6,NM,301,0.073,590,0.033
F,1979,Ursula,6,NM,309,0.069,593,0.032
F,1981,Ursula,6,NM,323,0.064,615,0.029
F,1988,Ursula,6,NM,322,0.064,617,0.029
F,1990,Ursula,5,NM,384,0.054,744,0.024
F,2001,Unique,5,NM,403,0.062,764,0.027
F,2005,Unique,5,NM,424,0.06,791,0.026
F,2006,Unique,6,NM,369,0.071,730,0.03
F,2007,Unique,6,NM,399,0.07,749,0.03
F,2008,Unique,7,NM,336,0.083,656,0.036
F,2009,Unique,9,NM,252,0.112,514,0.048
F,2010,Uma,5,NM,420,0.067,819,0.029
F,2011,Unique,6,NM,361,0.082,701,0.036
F,2012,Unique,6,NM,341,0.085,696,0.036
F,2014,Unique,6,NM,347,0.087,681,0.038
F,2016,Unique,7,NM,268,0.111,566,0.048
F,2017,Unique,5,NM,349,0.086,738,0.036
M,1920,Ubaldo,5,NM,165,0.136,354,0.067
M,1922,Ubaldo,5,NM,184,0.124,386,0.06
M,1983,Uriah,5,NM,343,0.043,706,0.024
M,1985,Uriah,5,NM,335,0.043,712,0.024
M,1988,Ulysses,5,NM,338,0.044,709,0.024
M,1990,Uriah,5,NM,361,0.044,744,0.024
M,1992,Uriah,6,NM,327,0.052,662,0.029
M,1993,Uriah,6,NM,320,0.052,671,0.029
M,1993,Uriel,5,NM,367,0.044,767,0.024
M,1996,Uriel,7,NM,296,0.065,582,0.036
M,1997,Uriah,6,NM,320,0.056,644,0.032
M,1998,Uriah,5,NM,361,0.046,749,0.026
M,1999,Uriel,10,NM,235,0.093,461,0.053
M,2002,Uriah,7,NM,308,0.066,620,0.037
M,2002,Uriel,7,NM,308,0.066,620,0.037
